name,success,CLOCK_CYCLES_1ST
502CA0L0AB0M0C1F,SUCCESS,236
502CA0L0AB0M1C1F,SUCCESS,266
502CA0L0AB1M0C1F,SUCCESS,266
502CA0L0AB1M1C1F,SUCCESS,325
502CA1L0AB0M0C1F,SUCCESS,209
502CA1L0AB0M1C1F,SUCCESS,239
502CA1L0AB1M0C1F,SUCCESS,239
502CA1L0AB1M1C1F,SUCCESS,299
519CA0L0AB0M0C0E,SUCCESS,214
519CA0L0AB0M1C0E,SUCCESS,245
519CA0L0AB1M0C0E,SUCCESS,245
519CA0L0AB1M1C0E,SUCCESS,306
519CA0L0AB0M0C1E,SUCCESS,244
519CA0L0AB0M1C1E,SUCCESS,275
519CA0L0AB1M0C1E,SUCCESS,275
519CA0L0AB1M1C1E,SUCCESS,336
519CA1L0AB0M0C1E,SUCCESS,214
519CA1L0AB0M1C1E,SUCCESS,245
519CA1L0AB1M0C1E,SUCCESS,245
